nr render views, mode, nr vertices, storage, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35
1, 7, 11098, 1, 383.015, 380.155, 388.804, 398.984, 377.393, 382.891, 398.058, 393.608, 393.823, 381.2, 399.109, 387.138, 398.754, 390.585, 402.118, 387.771, 377.309, 395.052, 391.987, 394.482, 387.933, 391.89, 388.032, 398.21, 394.243, 384.974, 395.075, 386.113, 392.408, 382.074, 405.117, 401.451, 396.233, 396.172, 390.232, 385.087
3, 2, 11098, 0, 24.9888, 15.7079, 15.1241, 16.8694, 18.327, 27.9884, 32.1642, 20.2461, 20.2065, 19.2617, 16.1743, 20.0142, 26.0431, 15.5085, 14.9239, 16.4783, 18.2217, 27.6098, 32.0015, 20.1148, 19.7442, 19.5855, 15.8942, 19.7655, 25.5813, 15.2879, 14.9445, 16.5457, 18.2712, 27.663, 32.1844, 20.036, 19.9934, 19.6613, 15.9354, 19.7481
2, 2, 11098, 0, 35.6291, 32.771, 23.5622, 32.7564, 30.2932, 47.3035, 53.8075, 34.5578, 31.041, 35.3824, 26.1344, 28.956, 38.0598, 32.9668, 23.5509, 32.3267, 30.198, 47.5152, 53.8759, 34.0899, 31.1489, 35.1336, 26.2074, 29.0502, 37.781, 32.6468, 23.2683, 32.2537, 30.0059, 47.3165, 54.0595, 33.8953, 31.0227, 35.0278, 26.1491, 28.5049
1, 2, 11098, 0, 84.5572, 40.4167, 66.7712, 80.6351, 78.7693, 85.591, 117.452, 67.3895, 74.8405, 71.5137, 61.2985, 95.2039, 102.608, 40.5986, 65.8428, 82.8173, 76.6887, 85.5012, 115.879, 68.009, 74.728, 70.5608, 59.9382, 92.6395, 105.292, 39.6874, 65.7811, 81.34, 77.2459, 86.5354, 116.369, 68.1125, 74.3554, 72.8567, 61.3454, 93.7743
3, 2, 11098, 1, 26.117, 15.68, 15.2079, 16.8258, 18.2858, 28.3338, 32.5286, 20.5181, 20.3456, 20.022, 16.1913, 20.2504, 26.1589, 15.6095, 15.058, 16.6905, 18.2492, 27.4881, 32.2808, 19.2705, 20.1617, 19.6661, 16.198, 20.0011, 26.1593, 15.5539, 15.0153, 16.7529, 18.3289, 27.8555, 32.0704, 19.9747, 20.0676, 19.8098, 15.4571, 19.9511
2, 2, 11098, 1, 37.244, 34.3918, 24.0364, 33.8758, 31.5168, 49.1752, 56.4306, 35.3198, 32.1036, 36.695, 26.3894, 29.7134, 39.4688, 33.7867, 24.0408, 33.82, 31.3232, 49.3915, 56.3983, 35.2882, 32.0725, 36.4133, 26.2622, 29.5104, 39.4818, 33.8724, 24.0874, 33.6572, 30.7287, 49.0987, 56.242, 35.1911, 31.9922, 36.5935, 26.7266, 29.4996
1, 2, 11098, 1, 90.6139, 41.0571, 71.3202, 88.2587, 81.2946, 91.2041, 128.541, 73.051, 79.9718, 77.3698, 65.5042, 100.845, 114.533, 41.6557, 70.7, 89.201, 82.3655, 91.7703, 128.588, 72.6254, 79.6532, 76.9997, 64.856, 102.318, 114.514, 41.0602, 71.2708, 88.4792, 82.2376, 90.4792, 128.969, 70.9614, 78.8996, 76.3056, 64.9363, 100.279
3, 1, 148402, 0, 128.278, 135.177, 138.758, 132.605, 130.267, 129.911, 132.011, 135.183, 135.423, 134.761, 136.336, 135.984, 131.036, 137.181, 136.157, 138.887, 133.624, 132.132, 133.776, 136.81, 134.723, 133.886, 135.1, 135.679, 134.781, 136.59, 133.46, 136.929, 133.635, 135.441, 134.472, 134.033, 138.91, 137.122, 135.304, 137.795
2, 1, 148402, 1, 111.888, 126.34, 126.14, 123.606, 128.555, 127.16, 126.32, 127.476, 125.613, 127.535, 125.91, 128.933, 123.679, 127.411, 126.734, 128.796, 126.601, 124.61, 122.329, 124.994, 122.146, 126.905, 127.983, 128.91, 124.962, 131.006, 125.182, 127.335, 128.628, 130.938, 128.368, 121.478, 125.867, 127.273, 128.571, 126.819
3, 2, 148402, 0, 23.877, 13.5602, 16.6645, 17.6639, 17.1518, 22.5066, 19.5154, 18.5295, 15.99, 15.3288, 15.3411, 17.1248, 24.4696, 13.5111, 16.4198, 17.4311, 17.0549, 22.5146, 19.4193, 18.4093, 15.9079, 15.259, 15.2536, 17.2075, 24.3105, 13.2558, 16.4041, 17.4737, 16.9712, 22.3208, 19.4086, 18.2739, 15.1718, 15.242, 15.2232, 16.9284
2, 2, 148402, 0, 35.2466, 23.9309, 22.8957, 29.0751, 23.4409, 34.8614, 27.6634, 29.529, 26.9717, 24.8799, 22.6224, 25.8392, 35.8991, 23.973, 22.6634, 28.7717, 23.3255, 34.5195, 28.0133, 29.1815, 26.5961, 24.9994, 22.532, 26.0346, 35.4766, 23.9189, 22.7194, 28.8357, 23.4314, 35.4573, 27.6891, 29.5343, 26.8612, 25.1176, 22.6663, 25.4326
