3, 6, 11098, 0, 206.026, 205.952, 202.378, 201.32, 201.552, 203.443, 204.205, 206.369, 204.307, 202.558, 201.096, 202.292, 204.226, 204.222, 202.359, 198.856, 202.674, 198.744, 205.377, 204.639, 201.193, 200.34, 199.809, 202.228, 205.234, 205.799, 200.989, 202.189, 199.582, 201.489, 202.912, 204.012, 206.101, 200.637, 199.282, 201.944
2, 6, 11098, 0, 242.438, 242.345, 242.118, 243.562, 239.872, 245.784, 247.524, 248.586, 249.952, 240.985, 237.971, 242.2, 245.557, 243.94, 243.329, 237.503, 240.973, 243.183, 247.297, 245.932, 244.06, 240.849, 238.109, 243.901, 242.731, 244.264, 240.388, 239.913, 243.698, 240.757, 244.489, 245.264, 244.425, 241.033, 240.583, 254.455
1, 6, 11098, 0, 298.044, 307.331, 299.676, 300.229, 300.893, 301.493, 303.214, 305.37, 302.647, 301.345, 300.975, 301.993, 305.291, 303.965, 300.412, 297.926, 298.166, 302.261, 304.563, 304.635, 300.535, 300.352, 303.739, 303.361, 305.762, 307.729, 300.65, 298.667, 301.255, 301.839, 305.731, 305.164, 304.206, 299.216, 300.785, 300.93
3, 5, 11098, 0, 200.289, 201.605, 197.338, 197.186, 199.8, 197.201, 200.271, 199.607, 196.919, 198.578, 198.439, 198.327, 199.285, 202.514, 199.568, 196.229, 199.987, 196.005, 198.798, 199.716, 199.372, 196.547, 197.7, 197.12, 199.872, 201.035, 199.608, 197.035, 193.928, 198.9, 198.034, 201.281, 196.173, 195.79, 196.074, 199.59
3, 5, 4648976, 0, 75.454, 85.8823, 86.1541, 86.1409, 86.7337, 86.9397, 87.4151, 87.1071, 86.388, 85.9856, 85.5167, 86.4192, 86.9757, 85.8506, 85.7603, 85.9819, 86.3045, 87.0868, 87.6105, 86.273, 86.377, 85.3107, 85.7146, 86.8679, 86.931, 85.6903, 85.4226, 85.8099, 86.0944, 86.5661, 86.6214, 86.7559, 85.8763, 85.2965, 85.5472, 86.0333

with holo:
3, 5, 11098, 0, 219.586, 218.274, 222.315, 220.354, 211.005, 213.545, 214.893, 213.494, 216.203, 213.699, 214.903, 213.317, 217.27, 213.927, 213.536, 209.475, 210.441, 208.915, 212.005, 214.6, 212.561, 199.581, 211.488, 212.051, 214.068, 211.305, 209.363, 208.499, 210.174, 211.881, 212.74, 212.491, 210.608, 210.73, 211.029, 212.953
3, 5, 145218, 0, 212.318, 205.977, 205.584, 198.97, 211.945, 213.398, 213.921, 204.947, 208.585, 204.998, 211.094, 213.088, 211.537, 209.007, 207.667, 209.918, 209.17, 209.873, 209.652, 207.368, 211.169, 212.218, 211.026, 213.888, 212.128, 208.856, 208.906, 207.457, 206.402, 209.111, 210.385, 208.468, 208.942, 210.639, 209.989, 209.601
3, 5, 437645, 0, 182.781, 205.633, 194.595, 202.691, 198.308, 196.717, 195.677, 198.251, 199.387, 197.197, 178.848, 190.244, 188.187, 200.696, 195.231, 197.567, 177.659, 189.045, 185.422, 194.767, 187.484, 172.191, 182.83, 183.401, 176.944, 180.139, 183.655, 188.893, 184.904, 172.844, 178.698, 166.62, 183.943, 202.843, 199.99, 195.933
